,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9767527372398515,17.13941017493575,2.591803140807238,0.7950691018155891,268.039391515096,11.610627659508939,0.6553430457491787
1,0.997012058743227,2.702024089341343,1.2063760921170004,0.8182739260464893,176.06495648418348,10.268255788189132,0.8136514033253135
2,0.97161473624152,26.25918308830207,3.0724588678204645,0.8586243389664943,136.7189198721164,6.686780211115994,0.7345245026403516
3,0.9766606769071275,21.768837052505443,2.7460214385749873,0.89981781398729,96.1494554773412,6.737267385086054,0.5724341009214372
4,0.9692095241167437,26.54437308227645,2.952905815339924,0.8232968318057222,187.89276609675716,8.72128867589076,0.8045945047454006
5,0.9587229352602563,33.423622012112496,3.4569861970367826,0.8969910595326718,125.27989384101961,7.7246605569181765,0.6741652627749307
6,0.975066566224738,20.462211055360694,2.60576927510934,0.8314595946514676,202.8316897256353,9.749079110446706,0.7556197019020052
7,0.9800395927461,19.092088876593227,2.6878529189235327,0.7349259335172846,240.29174502901375,10.230535521778195,0.7188765945537254
8,0.9742134866181981,22.695143510006744,2.7301759072609615,0.8375563876967738,160.53259765327354,9.279985184422332,0.708918977372526
9,0.9792939738327755,20.984381148239372,3.0581113327828593,0.8060992170645908,136.63365963789153,8.164573940728873,0.6103422645890564
mean,0.9758586287930537,21.10712740896736,2.710846098577309,0.8302114205084372,173.0435075332328,8.917305403408516,0.7048470358573926
