,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9058332438548274,69.42592231469035,5.3299308785851105,0.7191639467708719,367.3195476618604,11.984728180632814,0.8003781435672895
1,0.9176397447807019,74.47917294303957,5.371572116586302,0.8462691033799473,148.94188288362125,7.975488856915425,0.6973818514878842
2,0.8787192995809365,112.19667164199853,6.555225421403891,0.7928426012181254,200.33388772812054,8.458854132204706,0.7593943514929608
3,0.8889422308472413,103.58477280943391,6.13289546998983,0.745757458200358,244.008270593231,9.335651005814524,0.760308896259968
4,0.8908549631554137,94.0935953398816,5.881532914140477,0.7715946154437981,242.8689872072597,10.743983152165482,0.8091984182496246
5,0.9512903754809817,39.4420506530839,3.5695520189395458,0.799543832206101,243.79560945937996,10.240982667092917,0.7855043281229849
6,0.8827061516603052,96.2599657093191,6.149433307722184,0.7750717860728308,270.6921797385732,10.094684794102967,0.7732312882459003
7,0.8906598983845533,104.58358445617192,6.443738505564645,0.7410083609912559,234.7779762506249,9.671394779605475,0.7910663490074851
8,0.8759484729879994,109.17983235995345,5.913412761164878,0.7608634037152813,236.32335215427628,10.866930965858328,0.7351039376031244
9,0.8555908598143708,146.35045925622785,7.821490152744015,0.8844938332613719,81.39229782017158,5.975114299284193,0.6831445427452171
mean,0.893818524054733,94.95960274838004,5.916878354684088,0.7836608941259942,227.04539914971187,9.534781283367682,0.759471210678244
