,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9106748344498568,65.85638348495898,5.0919454664720805,0.7170090777747915,370.1380088096001,11.876005718379943,0.9264598178940388
1,0.8793092356440524,109.14182195234403,6.840061304512996,0.81671841967098,177.57200583795407,7.751249546724717,0.9048125437920589
2,0.8929219740253137,99.0577897294769,6.3892239225177025,0.7792480806551921,213.48062143006254,8.800067400530917,0.9379501314880925
3,0.8819125213843356,110.14145824609015,6.779067486223244,0.8136230653814907,178.87452340910392,7.960874911867103,0.91224338493578
4,0.900176040711646,86.05792349383486,5.911058028360569,0.8133639245255738,198.4546674102512,8.719838952573273,0.9101076823558467
5,0.7884026125623655,171.33851791686106,7.028078833360484,0.5633267988407349,531.0837295894949,14.20571993909701,0.8987256523453109
6,0.8867625985362726,92.93094681609087,6.584411539554167,0.6333415935501506,441.25884222562973,13.449675673710558,0.8913129553404249
7,0.8974842819770791,98.05607545201524,6.585389078224901,0.7627789051954884,215.04280514739133,9.04548200342545,0.925701973973897
8,0.8947044205439872,92.67240791110542,5.992927383149345,0.661527568094934,334.4905838852848,12.526893035623047,0.9080903831111492
9,0.850260600288388,151.75237445757665,8.336058207718695,0.8719363208683775,90.24104431942914,5.807575338233233,0.8885117910572145
mean,0.8782609120123297,107.70056994603542,6.553822125009418,0.7432873754557713,275.06368320642014,10.014338252016525,0.9103916316293812
