,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.7141807926029274,210.7247069040382,11.72340425531915,0.5053476756978456,646.980563654033,19.87074829931973,0.6671568457745215
1,0.642882850905077,322.9444813829787,13.976063829787234,0.6126121823377695,375.3199404761905,14.678571428571429,0.581446065463125
2,0.695045982310633,282.1126994680851,13.162234042553191,0.6234657256362639,364.13169642857144,16.68452380952381,0.6084680981687987
3,0.6468954891801797,329.3443656422379,14.028368794326237,0.6136458302705987,370.8018812463257,15.925925925925927,0.4896050327873859
4,0.6304722845284948,318.5686892566325,13.7565011820331,0.6192411943383311,404.870076425632,15.714285714285712,0.5158453549987059
5,0.6812637208184396,258.0929866036249,12.160756501182032,0.5278183472222395,574.2692533803645,17.90476190476191,0.5955125394863127
6,0.6931510853934209,251.82280585106383,12.763297872340425,0.6524264933788809,418.2909226190476,13.779761904761905,0.5945247668027119
7,0.6835280944604958,302.7047329570126,13.826747720364743,0.531657846118661,424.5558794946549,17.7687074829932,0.5731946446999302
8,0.7638509292230443,207.83876329787233,10.917553191489361,0.6205720585940726,374.9642857142857,15.988095238095237,0.6898660711289748
9,0.6761596301485329,328.1938164893617,14.523936170212766,0.6802810160931154,225.29241071428572,13.041666666666666,0.5176202736677145
mean,0.6827430859571245,281.2348047852908,13.083886355960825,0.5987068369687778,417.9476910153391,16.135704837490554,0.5833239692978182
