,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9031426676042149,8.450419633437063,6.146456481815729,0.6982755873604696,19.865560141133475,13.893820873340692
1,0.8393419859639167,12.053405793267915,9.186028915323101,0.758694575823311,15.290137184225243,11.875244225104572
2,0.8083528505364648,13.31512722919353,10.647446830108061,0.6245128100046202,19.055684236919035,14.093177034996254
3,0.8797232027574308,10.59166933104721,7.697833088948722,0.6913585101350004,17.21096874467316,12.817602757550159
4,0.8654077724970741,10.771793672363238,7.980536833892067,-3.5792140433995518e+25,195086266429881.03,85142626948698.42
5,0.8650093806388526,10.455002652374917,7.191675261958413,0.7016317294677079,19.049323044429933,13.617691639815998
6,0.8708164444496075,10.296481662373727,6.914882968618793,-2.68165892267318e+27,1796460436079948.0,784039612507605.6
7,0.8761357802802903,10.88466232069307,8.44265714774465,0.6214627630407883,18.524227637537567,14.162799508990464
8,0.8913650304501388,9.778111331822917,7.126875740432926,0.6028309014823907,19.811530299203866,14.31682358465607
9,0.7434097796859211,16.125743722957125,12.76577885864085,0.013051988795198755,26.37158344353984,20.61526204851809
mean,0.8542704894863912,11.272241734953072,8.410017212748333,-2.7174510631071756e+26,199154670250998.4,86918223945641.94
std,0.0426667259763609,1.9310623056259117,1.8031188307533441,7.659884657825704e+26,510677172792279.06,222877790476826.53
