,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9027777058159158,8.46632540130915,5.554967180771129,0.6758262363855524,20.591335820531697,13.467946070578924
1,0.8447556360517583,11.84858536882445,7.951090889958803,0.7689928436289426,14.96030876012291,10.926426798217381
2,0.8649878294761487,11.175850877014119,7.415088205565478,0.7814903013313679,14.536583393541404,8.718094104413936
3,0.867800556029937,11.104226210641954,7.4155369426729685,0.774577330824064,14.708790304005396,9.638415508872631
4,0.8619551338640604,10.909080983331014,7.63751622922796,0.7619987129961038,15.908253930134636,9.7872371100569
5,0.8613788528114383,10.594661771329312,6.691847930373328,0.7200254264875927,18.452810600533216,11.041694067445988
6,0.879838729787833,9.930417068933487,6.393116854958562,0.7179052224151063,18.425250896153727,11.430730632055191
7,0.8760728326963962,10.887427752746662,7.401623493111268,0.7195992250304479,15.943196916330011,11.453419052313642
8,0.8815129217088654,10.211878749093795,6.810509802562737,0.7054529737670832,17.06112318270324,12.067384259523077
9,0.8569769114103032,12.039342785615494,8.594228906214662,0.566868074518892,17.470251902060333,12.155947259010503
mean,0.8698057109652655,10.716779696883943,7.18655264354169,0.7192736347385152,16.805790570611656,11.068729486248817
