,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9482768377690735,38.13371501699031,3.667225900717796,0.7295980046982895,353.67232041269483,13.568581341761387,0.7393134658698644
1,0.9740117454093214,23.50142921477194,3.168230772305221,0.712525255355382,278.51935225929435,12.688941055247668,0.7429452175978373
2,0.9442563627295056,51.56839089284521,4.472210202878832,0.7960251257498876,197.25619165746588,9.116148091258548,0.764849906371858
3,0.9647970978798107,32.83412449368446,3.3113301567332885,0.8327668394657204,160.5013621991219,8.20872092370578,0.7395820881858925
4,0.9271708374562742,62.78579354084209,4.815163701681666,0.7844038726319582,229.2485932475882,9.856945509137384,0.755099391484918
5,0.8941881914316178,85.6798785549879,5.198230947308609,0.7823827081302711,264.66703860580867,11.08182099018318,0.7525701225986088
6,0.9103979314874956,73.53405284749971,4.699528652141792,0.7727222827432019,273.51971376152244,11.371676000824415,0.7401575247158175
7,0.9348313548845155,62.33367629655392,5.280987985249765,0.7930621248861807,187.5908261547654,8.989891638343156,0.7845863263327996
8,0.9255433593920825,65.53053989308268,4.75335385316544,0.8357914562486777,162.27676614365367,9.222072055750651,0.738526585141942
9,0.9429023650532383,57.86520912846334,4.928868562139131,0.922859667697546,54.35752114357547,6.048539750391558,0.6571341205751831
mean,0.9366376083492935,55.37668098797216,4.429513073432154,0.7962137337607115,216.1609685585491,10.015333735660374,0.7414764748874721
