,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9039302641167606,70.82892406254477,5.400584126409674,0.7070340900660266,383.18479511423016,12.29968938276977,0.8228020515903868
1,0.9562145665877462,39.595589630143266,3.6979996078737005,0.8319055140573138,162.85801871393195,8.654410996442087,0.7039197217514447
2,0.8717912056400298,118.60584538775515,6.613641424339368,0.7958257525153631,197.4489977817756,8.305535670013409,0.7525680611739326
3,0.9608956783811929,36.47302031773745,3.6211488901169755,0.6921251341632763,295.4816807611375,10.650971208685492,0.776069084273249
4,0.9103318589881486,77.30262428022696,5.412867743228819,0.783569624908921,230.13566909287832,8.839652508866795,0.763393447721313
5,0.9208098394596649,64.12330938905566,4.77153719037542,0.8064724857445383,235.368952745714,10.020489000373637,0.8122528159349954
6,0.8820174869801729,96.825134637043,6.049913201859849,0.7719433847206887,274.4570866229654,10.315732881393997,0.7508100445415207
7,0.8772064581808139,117.45177260476486,6.698848686117471,0.7501586605011945,226.48315712344098,9.151679346850957,0.7963192898982715
8,0.9230397845484329,67.73397816034253,4.67274487440199,0.7271153591563755,269.67437890100143,11.216535112198175,0.7792423476567498
9,0.8374654896515107,164.71949215895052,7.98034936812901,0.8944799407516583,74.35551131895507,5.3667548483513325,0.6550447462431965
mean,0.9043702632534473,85.36596906285642,5.4919635112852285,0.7760629946585356,234.94482481760306,9.482145095594566,0.761242161078506
