,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9122257278728144,8.044436767830536,5.5896496601209895,0.675561149081127,20.599753198613577,13.890465496934112
1,0.8549700226345089,11.452161672130856,8.044448071852264,0.7244947854618298,16.337769005778767,12.628151947283445
2,0.8717611987299334,10.891905469405977,8.486959254488031,0.7496651852434159,15.559212463711926,10.730614071800595
3,0.8797646073647605,10.589846112987965,7.700838748393678,0.6888667105237467,17.280304971814687,12.894044268021476
4,0.8576124722840733,11.07934307097254,8.622444315159575,-2.9364577379194668e+23,17670333217336.51,7711965668916.98
5,0.8759256259419356,10.02336161555193,6.789727840017765,0.7213769520283939,18.408217952316782,12.356905165172758
6,0.8926813669849165,9.384751981731782,6.618674744063434,0.6860089260305834,19.439027690677847,14.134063158003759
7,0.8880450982890163,10.34817063160872,7.60548496866829,0.6297730333738512,18.31976210423767,14.244782783305888
8,0.896333034921794,9.551912742730307,6.872337083594614,0.6313626475567445,19.086661287395795,14.174566910002149
9,0.8679324365852158,11.569052353647693,8.632063884575347,0.40084006120053006,20.54756925567495,14.54633884761868
mean,0.8797251591608969,10.293494241859829,7.496262857093399,-2.936457737919467e+22,1767033321750.209,771196566903.658
std,0.016203007290596975,0.9790075587777544,0.9139278704959153,8.399407794020849e+22,5054400498664.958,2205921226453.809
