,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9024779318647735,8.47936783387218,5.286804566775942,0.7080376993441179,19.541548665475897,12.119495511976979,0.927546985587665
1,0.8599910229483745,11.25217614359289,7.050065708188772,0.8043092061652815,13.769337254383919,7.99039917247713,0.9059095363552657
2,0.8605096791578108,11.35968203045381,7.063011786894048,0.8231440540402852,13.07786403271203,8.378743956782468,0.9296253357889354
3,0.861511286561717,11.365294050162575,7.202027523607074,0.8344718702887974,12.604164614629129,7.842139455293381,0.9040806227813729
4,0.8859870052219959,9.914143768818318,6.302610384047497,0.8058024479829748,14.369932807163487,9.032206784859843,0.9229766321107057
5,0.8285835025056061,11.78144773227224,6.29461229322303,0.664783377912576,20.19137994327866,12.627469331837162,0.8900917903567492
6,0.8711616057686516,10.28271704553654,5.994857158095764,0.7431039040343068,17.583067343475346,10.242891085855689,0.8950173758076889
7,0.9015929772523421,9.701861511644816,6.549892748885104,0.776448581294834,14.235558832509586,9.42422487348361,0.926502077185304
8,0.8903350546193805,9.824355462041568,6.155009971652602,0.6899155432185986,17.505329753913056,12.0895947656408,0.9183074676065228
9,0.8588793362123883,11.959003940762383,8.122859065515879,0.8643922880661693,9.775326303545256,6.057177907261719,0.8977514188241018
mean,0.872102940211304,10.592004951915733,6.602175120688571,0.7714408972347943,15.265350955108635,9.580434284546879,0.9117809242404311
std,0.02084674881951824,1.0138415673534193,0.7116777756319463,0.06061604971122726,3.0007366920295304,1.9586224360272602,0.013462654223429621
