,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9996275165720758,0.5240412834988585,0.3348178748384411,0.8036488471086491,16.025526908226073,11.016054673382714,0.7095534647149335
1,0.9988252011263109,1.0307191418252453,0.6211659380343941,0.8555213869500842,11.831222497269406,8.058842853173038,0.7948716592360008
2,0.9999666161774969,0.17573657981061808,0.14668759527251554,0.8569602750858561,11.761299737960748,8.368964441675947,0.7214439065298415
3,0.9986930934858586,1.1040678092065384,0.7459861015779714,0.873803124270308,11.005314657033615,8.623604744648741,0.6060749979919591
4,0.9987214843794412,1.0498591919544018,0.6669397035964292,0.8617272754325611,12.125540934284299,8.976387254069149,0.8231588401631565
5,0.9981970388706719,1.208274289063128,0.6291201029042439,0.9088572091190331,10.528448806962174,6.785858336250202,0.6019248510803967
6,0.9995997818283198,0.573104258339567,0.3114050324211271,0.8107657160598447,15.090922815553565,10.470176662095371,0.76616703916126
7,0.9989245414392621,1.0142356346069976,0.6193101119064166,0.7623137863873499,14.678706994772664,9.991740081945814,0.7739512212233559
8,0.9984096651765644,1.1830808880492707,0.6906372103672169,0.7919309527715049,14.339500936197004,10.882465907786624,0.6966655226326045
9,0.99897414464082,1.0196303862526996,0.7142664259407538,0.9021261502716023,8.30467047493611,6.251236942080065,0.6415424296835057
mean,0.9989939083696824,0.8882749462607326,0.548033609685951,0.8427654723456793,12.569115476319563,8.942533189710767,0.7135353932417015
