,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.7768777428925284,164.5003940110323,9.595744680851064,0.5726622122516063,558.936507936508,19.105820105820104,0.7444399970897215
1,0.7412146053804027,234.0221276595744,11.395744680851061,0.6002400400690912,387.30666666666673,14.533333333333333,0.7050905261056044
2,0.7636380413145007,218.65824468085106,9.920212765957446,0.545613419575402,439.41964285714283,17.535714285714285,0.6341453505884326
3,0.7431249663348579,239.5900998697351,10.401215805471123,0.7006668835832824,287.2837706511176,11.993197278911564,0.5930872407400527
4,0.6971827031430833,261.05784574468083,11.664893617021276,0.677924228716258,342.47098214285717,12.577380952380953,0.6869219334466836
5,0.7584362534481671,195.60342789598104,9.776595744680854,0.6123727345159033,471.43386243386243,14.936507936507931,0.7034714952471195
6,0.7363075463237748,216.40543735224588,10.432624113475176,0.6401810915613706,433.0277777777777,13.880952380952381,0.6508465578610372
7,0.7245106589735053,263.5049934867564,11.155015197568387,0.67388605591072,295.62487852283766,14.16326530612245,0.6739883373235436
8,0.7538083824986126,216.6773773339123,9.9209726443769,0.6025016029192141,392.82215743440236,14.435374149659864,0.6932542286993776
9,0.7775402852958204,225.45028224055582,11.130699088145896,0.7186552707286149,198.25170068027214,10.578231292517007,0.6755593757808774
mean,0.7472641185605253,223.54702302753248,10.539371833839919,0.6344703539831463,380.6577947103445,14.373977702191988,0.676080504288245
