,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.899122186946238,74.37375459285552,5.421498404688267,0.7130145484129932,375.36265394125866,11.904928112307452,0.9316856995195797
1,0.8576110731713829,128.76367949813593,7.0672500967357035,0.8118989751039472,182.24131541754502,7.802438696174254,0.9022964164397262
2,0.8847338214254048,106.63264265687756,6.633976524254811,0.8425532353114189,152.26066105169602,7.9654725828561554,0.9273229278753042
3,0.8661885673586898,124.80735886554304,7.338384340251049,0.8569900891355569,137.25319445250307,6.993875496207785,0.9081410580560713
4,0.9000761795782113,86.14401346504422,6.013421076959706,0.8154283494245995,196.25951432589633,9.046686384620418,0.915279946219794
5,0.7859529806791419,173.32207877928963,6.728620974531847,0.5675719326696805,525.9207804996544,14.665796885339935,0.8851770293843945
6,0.8389796865642102,132.14512158339224,7.272373254959819,0.7525739353152872,297.76745035342145,9.499986916241692,0.8884438721460535
7,0.8952425833004894,100.20025566956208,6.606600341835279,0.775673849621275,203.353435684587,9.261953098811741,0.9278815237902471
8,0.8855273884840495,100.74926795466607,6.308409184491552,0.704391226586095,292.1311808595482,12.019864491655177,0.9147722617013823
9,0.8560960984152912,145.83842863833465,8.288503933814042,0.8562838624407046,101.27066805238383,6.2457103480041365,0.8934177678398372
mean,0.8669530565923109,117.2976601703701,6.7679038132522065,0.7696380004021558,246.3820854638494,9.540671301221874,0.909441850297239
