,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9073001460115948,68.34442562362905,5.446870607937248,0.7440209383854202,334.80784266135913,11.20084147457769,0.7889278056383505
1,0.952776899576856,42.70430505535576,4.080219315744348,0.8590456652758444,136.56333551680777,7.758796829527409,0.7328516611182074
2,0.8865351587247192,104.96622707064391,6.546650867925167,0.7791157414078504,213.60860158464493,9.34327973917721,0.7683073306127713
3,0.8805023810514203,111.45671126376543,6.65779580658915,0.7994510838727983,192.47602642404954,8.545221575475916,0.7456114643043619
4,0.9672362669741535,28.245511901266315,3.03453978108701,0.7498502579455311,265.9902901193513,11.022434142026398,0.8060714009326579
5,0.9650666477420374,28.2868747777477,2.884245342482575,0.8409964108610797,193.38081410499638,9.562879854669145,0.8062258657487529
6,0.9382927492953637,50.64151207352314,4.462212715698772,0.8127177927248161,225.38670462206167,9.750473329530017,0.77023753999372
7,0.9021561218301809,93.58747014962586,6.18904011681006,0.7485421863327237,227.9485037863197,9.96069513056914,0.8128032556231346
8,0.8927978271340309,94.35043279231056,5.732564022085382,0.763670597575974,233.5491826059401,11.323217601595482,0.7694455351163022
9,0.8626347272559152,139.21189978772827,7.875741461592336,0.86941770026128,92.01580946259911,6.000016913445522,0.7066484565964132
mean,0.9155298925596271,76.1795370495596,5.290988003795205,0.7966828374643319,211.57271108881295,9.446785659059394,0.7707130315684673
