,r2_train,MSE_train,MAE_train,r2_test,MSE_test,MAE_test,cv_score
0,0.999653068887109,0.25578042058689543,0.31788755805464947,0.8057306882569704,254.09456832029468,10.726380093173821,0.7719565410258403
1,0.9915937811037542,7.601824803765755,1.7808774574678454,0.8238961091051971,170.61791526416175,9.423623094195241,0.8559346523048517
2,0.9905575383353545,8.735213164335109,1.8424085429165638,0.8943006289616712,102.21776318412756,6.223383094416848,0.7285698861426119
3,0.9992720324656357,0.6789831295463178,0.6452841929358643,0.8515983585545044,142.42788648191186,8.580963740621012,0.6400915389594827
4,0.9980925625129925,1.6443958995054544,0.8583268666873808,0.8468972348271568,162.79788494657743,8.395712400989584,0.8509982189693286
5,0.9937137588995373,5.090210453277888,1.4089792813614241,0.8963768622021216,126.02688314136256,7.16456932132875,0.5793246347977948
6,0.9962328143677235,3.0916298247233653,1.1143017056907518,0.8000347893892601,240.6501958426202,10.410997365063858,0.7841666103661338
7,0.987765280178475,11.702484585685623,2.2179980909672934,0.7780214037147459,201.2253592674739,8.762927481278613,0.7691706085252955
8,0.998394631569058,1.4129117181221753,0.810491454797395,0.844087912877134,154.07791046074934,9.839628411803503,0.7329570424440278
9,0.9686071994863914,31.814819800187184,4.149199848269718,0.762257812244548,167.52683857994953,6.763310577190071,0.7020732004693402
mean,0.992388266780603,7.202825379973577,1.5145754999148884,0.8303201800133309,172.16632054892287,8.62914955800613,0.7415242934004707
