,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.8030766461789736,12.049267215292883,7.547872340425532,0.639077631820751,21.72713631339741,14.011904761904763,0.7078076873126546
1,1.0,0.0,0.0,0.32384110920231635,25.59482834666484,18.142857142857142,0.6826568635836722
2,0.8330670577682693,12.42696750122876,7.420212765957447,0.538328831300384,21.129701505565233,16.833333333333332,0.680060801207395
3,0.7825144950537721,14.242579254818535,8.567375886524824,0.772614007232954,14.772704702687461,10.857142857142856,0.5339347960003863
4,0.717841024200511,15.596421759144024,10.908814589665655,0.6767092706068153,18.540843470004354,12.707482993197278,0.6197252980919629
5,0.7528174462965531,14.147550724042722,9.063829787234043,0.6361340627132487,21.036521530310996,15.285714285714283,0.6155252467746972
6,0.7722471458974889,13.671530876283828,9.379432624113475,0.6781437125748502,19.680987522003814,13.412698412698411,0.6144025469120589
7,0.9256374165603359,8.433721573212392,5.25531914893617,0.31670022763088757,24.88808282424877,17.738095238095237,0.7248014707016173
8,0.7657044519586169,14.359925027955773,9.712765957446809,0.7289150769138986,16.367523738590798,11.107142857142858,0.6210261916508152
9,0.7892769384498833,14.613550255288063,10.138297872340425,0.7429138080282153,13.45948506055258,10.083333333333334,0.6395823287793204
mean,0.8142182622364403,11.954151418726699,7.799392097264439,0.6053377738024321,19.719781501402622,14.017970521541951,0.6439523231014579
std,0.0775825014407244,4.206611044101384,2.876155597562463,0.14823306024049027,3.6340883363909158,2.6357049645011856,0.050751402270396505
