,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9802088462021914,3.819861185181319,2.24745189424932,0.8285350046769041,14.975568772948792,10.777694084532122,0.6584460667537974
1,0.9922492834298596,2.6474606190973393,1.6906339315774812,0.7319840353553133,16.114178563052665,11.542658296828794,0.7980847022011496
2,0.9625276198015977,5.887755658218539,3.907225376503412,0.8667407422603584,11.352086194365297,8.364362189171098,0.7447154185953753
3,0.9872117478726329,3.4536560283650894,2.2776133344507032,0.8964901108915068,9.967106165700663,7.526869480494562,0.5392971473949443
4,0.9741286770190637,4.722667332194825,2.806078678999831,0.8991188217549385,10.35709440489419,6.838665655024606,0.763051512667591
5,0.9694750749192086,4.971639795826359,2.92523403654475,0.8657300701647852,12.778874625964457,8.283106374036269,0.7020956386189973
6,0.9699499752889701,4.966010692609378,2.745155630659985,0.8514732014006466,13.369596411026864,9.28124835332504,0.7997168788008316
7,0.9796906306482395,4.407478917966461,2.7110285850626834,0.8011368679926563,13.42650391738231,9.047072404036044,0.6101227017844906
8,0.9752767963690151,4.664687207101886,2.767145139438891,0.8424819118673614,12.476578785783857,9.567173703047692,0.7294813208398392
9,0.9774714445297619,4.778222583076047,3.0029666195167715,0.8000825019521359,11.869009379349583,7.423380122253157,0.7092809021815902
mean,0.976819009608054,4.431944001963724,2.708053322700383,0.8383773268316606,12.668659722046867,8.86522306627494,0.7054292289838606
std,0.007869633078066061,0.8241335332237606,0.5239028061543841,0.04580331418341764,1.7404974285839305,1.351492223283244,0.0749751482602105
