,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.7178028650273337,14.424086696562835,11.072948328267477,0.6270352844556304,22.086630389955534,16.816326530612244,0.7025883570184908
1,0.7089623370560967,16.22307507513964,12.372340425531915,0.7300557459474515,16.17204285914724,12.363095238095237,0.6525309372412174
2,0.728090608494089,15.860111733781634,12.010638297872342,0.6811632518434105,17.55946058638067,15.65873015873016,0.6665622111849583
3,0.7185609922590583,16.201888224311908,12.21985815602837,0.6583435322395694,18.10810423963368,14.261904761904763,0.5251965142419163
4,0.7406438812310594,14.952929474512182,11.355623100303955,0.6864189963570251,18.26029270306352,14.544217687074829,0.6383687551762816
5,0.684107964278207,15.993432827789702,11.47872340425532,0.6485760241523196,20.673733910678152,14.607142857142858,0.5716989488503834
6,0.6900537081101801,15.948816308470585,12.638297872340424,0.7453036029891129,17.507627103714572,12.571428571428571,0.5828526208166765
7,0.750583379557235,15.445597734037428,11.97340425531915,0.6398594817019785,18.068487432412212,16.0,0.6754961797227288
8,0.7402585222820818,15.119617616839145,11.567375886524824,0.6196484952227106,19.387547140548342,16.071428571428573,0.6796245603582101
9,0.7748605165189417,15.10516718378576,12.400709219858154,0.720628696653945,14.030720263447314,11.753968253968255,0.5824499456016838
mean,0.7253924774814282,15.527472287523082,11.908991894630194,0.6757033111563153,18.18546466289812,14.464824263038551,0.6277369030212546
