,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.937208461008582,6.803973096757865,4.736118580796696,0.7502273547628396,18.07457218461444,12.160181057896555,0.6842638140191367
1,0.970641224944069,5.152613256524528,3.3453183582383854,0.2629073635753304,26.723225480842473,17.998594979923343,0.7485246646607532
2,0.9200399574950078,8.600637566269171,5.164380674304342,0.7317320300215708,16.10687901297863,12.782907356868886,0.6561074865165282
3,0.9343638479804227,7.824291864968253,5.340950073795131,0.7786821778277738,14.574254752283835,10.827879402988643,0.4571093213500049
4,0.9511461660497096,6.48974095395388,4.014534876606948,0.8606212949205199,12.173937689256725,7.986527634127332,0.6910260465810077
5,0.8966358501475011,9.148656482883819,5.588097911151583,0.8080876203452384,15.277585524288726,9.844954237616735,0.6123414724512284
6,0.9286530694903155,7.651963334908408,4.433590574566982,0.8374410636778051,13.986894906029718,9.583226492886494,0.7250731460368182
7,0.9460188537663617,7.18560062947806,4.738133901321893,0.7355456476417066,15.483215727259607,11.968461948762547,0.6267354602275221
8,0.9302039529261994,7.837644623824498,4.905814277924269,0.8012697303880765,14.01400629627047,9.92987813735279,0.5987904016513115
9,0.9303443208789804,8.401908916337893,5.906601740617671,0.6608056911608724,15.460137333465102,10.700599973160845,0.5258025905171028
mean,0.934525570468715,7.5097030725906375,4.81735409693239,0.7227319974321734,16.18747089072897,11.378321122158416,0.6325774404011413
