,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.9066897628167356,68.79444023603806,5.481986922230602,0.7438246286294927,335.06460602888177,11.221255992699161,0.7810042334358767
1,0.9524494207393447,43.00044732579003,4.082143465626088,0.8643148970133365,131.4582505040541,7.795437679704174,0.7422407238741837
2,0.8867327205587373,104.78346278792021,6.520482155529846,0.7839342797819121,208.94877996437376,9.320253678293309,0.7697174074410391
3,0.884671213042495,107.56839693897297,6.515701984784287,0.7923155886407727,199.3242896575289,8.65368666099552,0.742724228668218
4,0.9674229040987461,28.084612619132095,3.0380332015259137,0.752195588378892,263.49644336471596,11.004827594077003,0.8074480901864242
5,0.9661428003914148,27.415472714473424,2.841043403641274,0.8394722090723175,195.23455454172066,9.644929993815714,0.8021883641680319
6,0.9395428314249026,49.61560266201888,4.438955482352754,0.8126802673165257,225.43186496183577,9.791183900139403,0.7713664422205085
7,0.9017742943424119,93.95268736384818,6.199020679860681,0.7503541890864749,226.30590890907007,9.978661989991714,0.8116641846397835
8,0.8927285258023449,94.41142605823842,5.778108982082281,0.766417534933602,230.83456069278242,11.222015325841584,0.7639523898664583
9,0.8631775332491289,138.66179675206334,7.877603895956125,0.8677487670949378,93.19183589609914,6.03920998779369,0.7096251110969615
mean,0.9161332006466262,75.62883454584956,5.277308017358985,0.7973257949948264,210.92910945210625,9.467146280335125,0.7701931175597485
