,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test,cv_score
0,0.7937253966889487,152.07919621749406,8.57446808510638,0.6150009708636872,503.55952380952397,15.801587301587304,0.7696875405146143
1,0.774224225265566,204.17121010638297,9.763297872340425,0.7241684771287875,267.2388392857143,11.648809523809524,0.7181073744426569
2,0.7624681136735441,219.74054373522463,9.322695035460994,0.7066700822715257,283.6679894179894,14.341269841269842,0.6768916547330088
3,0.7555391156413059,228.01128962223189,9.981762917933132,0.733016711580107,256.2361516034985,11.517006802721088,0.642959792480353
4,0.746569612085308,218.48154580981333,10.343465045592705,0.7169245711019894,301.0009718172983,11.210884353741497,0.7085482428912784
5,0.7726434812684584,184.09929078014184,9.425531914893616,0.6725717478393922,398.2195767195767,13.746031746031747,0.7357842656198377
6,0.750226084365277,204.98286052009462,10.102836879432624,0.7235627863216298,332.6812169312169,11.944444444444443,0.6873846290332973
7,0.8011673980455336,190.18297872340426,9.35744680851064,0.6651514620907021,303.54285714285714,14.380952380952378,0.7243247262338364
8,0.7768340834501148,196.41207121146329,9.249240121580547,0.6833713357397881,312.90379008746356,13.006802721088437,0.7226779722816838
9,0.7889329415017328,213.9044724272688,10.911854103343465,0.7074939387057655,206.11661807580177,10.74829931972789,0.7374002347471059
mean,0.7722330451985788,201.20654591535197,9.70325987841945,0.6947932083643374,316.51675348909407,12.834608843537415,0.7123766432977673
